Date,Country,Value
4/8/2020,Mexico,24.039
4/9/2020,Mexico,23.625
4/10/2020,Mexico,23.42
4/13/2020,Mexico,23.723
4/14/2020,Mexico,23.599
4/15/2020,Mexico,24.064
4/16/2020,Mexico,24.124
4/17/2020,Mexico,23.831
4/20/2020,Mexico,24.037
4/21/2020,Mexico,24.433
4/22/2020,Mexico,24.585
4/23/2020,Mexico,24.682
4/24/2020,Mexico,24.8225
4/27/2020,Mexico,24.832
4/28/2020,Mexico,24.394
4/29/2020,Mexico,23.927
4/30/2020,Mexico,23.979
5/1/2020,Mexico,24.8066
5/4/2020,Mexico,24.3853
5/5/2020,Mexico,23.7938
5/6/2020,Mexico,24.295
5/7/2020,Mexico,23.961
5/8/2020,Mexico,23.619
5/11/2020,Mexico,23.913
5/12/2020,Mexico,24.037
5/13/2020,Mexico,24.311
5/14/2020,Mexico,24.172
5/15/2020,Mexico,24.0493
5/18/2020,Mexico,23.59
5/19/2020,Mexico,23.614
5/20/2020,Mexico,23.215
5/21/2020,Mexico,22.924
5/22/2020,Mexico,22.738
5/25/2020,Mexico,
5/26/2020,Mexico,22.336
5/27/2020,Mexico,22.358
5/28/2020,Mexico,22.191
5/29/2020,Mexico,22.17
6/1/2020,Mexico,21.991
6/2/2020,Mexico,21.722
6/3/2020,Mexico,21.635
6/4/2020,Mexico,21.851
6/5/2020,Mexico,21.545
6/8/2020,Mexico,21.638
6/9/2020,Mexico,21.728
6/10/2020,Mexico,21.941
6/11/2020,Mexico,22.521
6/12/2020,Mexico,22.298
6/15/2020,Mexico,22.521
6/16/2020,Mexico,22.175
6/17/2020,Mexico,22.368
6/18/2020,Mexico,22.669
6/19/2020,Mexico,22.61
6/22/2020,Mexico,22.457
6/23/2020,Mexico,22.389
6/24/2020,Mexico,22.7116
6/25/2020,Mexico,22.83
6/26/2020,Mexico,22.946
6/29/2020,Mexico,23.123
6/30/2020,Mexico,23.0821
7/1/2020,Mexico,22.823
7/2/2020,Mexico,22.52
7/3/2020,Mexico,
7/6/2020,Mexico,22.275
7/7/2020,Mexico,22.636
7/8/2020,Mexico,22.855
7/9/2020,Mexico,22.702
7/10/2020,Mexico,22.507
7/13/2020,Mexico,22.432
7/14/2020,Mexico,22.592
7/15/2020,Mexico,22.371
7/16/2020,Mexico,22.288
7/17/2020,Mexico,22.48
7/20/2020,Mexico,22.58
7/21/2020,Mexico,22.319
7/22/2020,Mexico,22.256
7/23/2020,Mexico,22.314
7/24/2020,Mexico,22.363
7/27/2020,Mexico,22.013
7/28/2020,Mexico,21.957
7/29/2020,Mexico,22.003
7/30/2020,Mexico,22.183
7/31/2020,Mexico,22.226
8/3/2020,Mexico,22.574
8/4/2020,Mexico,22.746
8/5/2020,Mexico,22.423
8/6/2020,Mexico,22.359
8/7/2020,Mexico,22.483
8/10/2020,Mexico,22.493
8/11/2020,Mexico,22.338
8/12/2020,Mexico,22.318
8/13/2020,Mexico,22.28
8/14/2020,Mexico,22.019
8/17/2020,Mexico,22.042
8/18/2020,Mexico,22.18
8/19/2020,Mexico,22.046
8/20/2020,Mexico,22.148
8/21/2020,Mexico,22.042
8/24/2020,Mexico,21.974
8/25/2020,Mexico,21.961
8/26/2020,Mexico,21.945
8/27/2020,Mexico,22.115
8/28/2020,Mexico,21.87
8/31/2020,Mexico,21.88
9/1/2020,Mexico,21.751
9/2/2020,Mexico,21.832
9/3/2020,Mexico,21.663
9/4/2020,Mexico,21.595
9/7/2020,Mexico,
9/8/2020,Mexico,21.732
9/9/2020,Mexico,21.52
9/10/2020,Mexico,21.285
9/11/2020,Mexico,21.327
9/14/2020,Mexico,21.123
9/15/2020,Mexico,21.055
9/16/2020,Mexico,21.05
9/17/2020,Mexico,20.993
9/18/2020,Mexico,20.949
9/21/2020,Mexico,21.516
9/22/2020,Mexico,21.585
9/23/2020,Mexico,22.116
9/24/2020,Mexico,22.28
9/25/2020,Mexico,22.451
9/28/2020,Mexico,22.507
9/29/2020,Mexico,22.466
9/30/2020,Mexico,22.091
10/1/2020,Mexico,21.976
10/2/2020,Mexico,21.72
10/5/2020,Mexico,21.4301
10/6/2020,Mexico,21.521
10/7/2020,Mexico,21.533
10/8/2020,Mexico,21.416
10/9/2020,Mexico,21.153
10/12/2020,Mexico,
10/13/2020,Mexico,21.392
10/14/2020,Mexico,21.346
10/15/2020,Mexico,21.394
10/16/2020,Mexico,21.174
10/19/2020,Mexico,21.1369
10/20/2020,Mexico,21.065
10/21/2020,Mexico,21.0896
10/22/2020,Mexico,21.026
10/23/2020,Mexico,20.8961
10/26/2020,Mexico,20.958
10/27/2020,Mexico,20.867
10/28/2020,Mexico,21.152
10/29/2020,Mexico,21.367
10/30/2020,Mexico,21.276
11/2/2020,Mexico,21.457
11/3/2020,Mexico,21.156
11/4/2020,Mexico,20.936
11/5/2020,Mexico,20.834
11/6/2020,Mexico,20.63
11/9/2020,Mexico,20.4
11/10/2020,Mexico,20.433
